layer,unit,summary
layer4,1409,"people, animals, vehicles and towers"
layer4,1409,two items that are connected
layer4,1920,animals and flowers
layer4,1920,vegetation and textured areas
layer4,1920,sides
layer2,48,spots of the color white next to animals
layer2,48,animal faces
layer2,48,around the subject
layer2,75,multiple sections of different shades of color
layer2,75,"dog, person, ipod, money"
layer2,75,lighter areas
layer4,281,animals
layer4,281,black bugs
layer4,281,brown and molted looking things
layer4,565,shovels in front of grass
layer4,565,"tools, boats and animals"
layer4,565,birds and shovels
layer4,1612,"place in the sand, letters a poster, a clock, a newspaper"
layer4,1612,"balls, furniture and clocks"
layer4,1612,items with corners
layer2,305,scrunchie to clean with
layer2,305,small checkered patterns and mesh
layer2,305,"clothing, animal, insect"
layer3,994,bottles and furniture
layer3,994,tan and yellow objects
layer3,994,the tops of objects in them
layer3,475,parts of the top
layer3,475,"clouds, white screen, the sky"
layer3,475,above the image
layer4,1163,tennis balls
layer4,1163,"balls, bags and mounds"
layer4,1163,round objects
layer4,2047,animals or people that are highly contrasted with the background
layer4,2047,items that are connected
layer4,2047,pictures of animal
layer4,1750,"a dishwasher, a side of a baby, the face of a man"
layer4,1750,"animals, circular objects, people and ceramics"
layer4,1750,"animal, nature, sign"
layer3,208,round cylinders
layer3,208,tapered shapes
layer3,208,parts on objects
layer3,229,ear of a dog
layer3,229,hands and ears
layer3,229,"ears, apple, binoculars"
layer3,601,the bottom of circular objects
layer3,601,frogs and snakes
layer3,601,glossy area of skin
layer3,156,the color red and blue
layer3,156,the left side of animals and vehicles
layer3,156,the westside of the subject
layer4,1210,animals and items in the sky
layer4,1210,animals and curved objects
layer4,1210,dogs and birds
layer4,700,bridges and pyramids
layer4,700,"mountain range, dog, tent"
layer4,700,dome and triangle shapes
layer2,328,a bird going through some brush
layer2,328,the edges  of lines
layer2,328,places in the world
layer3,94,the side edge of objects
layer3,94,edges of boxes and bowls
layer3,94,rounded edges in pictures
layer3,658,electronics
layer3,658,logos of objects
layer3,658,written text
layer4,814,"sticks, poles and snow"
layer4,814,areas with dark and light colors
layer4,814,birds and poles
layer4,1415,animals and wooden structures
layer4,1415,"animals, fences and circular items"
layer4,1415,wrinkled
layer4,1725,a church
layer4,1725,animals and ornate buildings and designs
layer4,1725,curved items
layer3,382,water and feathers on birds
layer3,382,grey and pale spots
layer3,382,stomachs of birds
layer3,968,the left side outline of a object or the sky
layer3,968,pale spots
layer3,968,blue skies
layer4,270,"bridges, clothes and chains"
layer4,270,objects containing lines and wires
layer4,270,bridges
layer4,414,"animals, and steel items"
layer4,414,birds
layer4,414,"animal, paint  brush, vase, helmet"
layer4,1600,"a bird on theback, a insect, a keyboard"
layer4,1600,"rails, legs and chains"
layer4,1600,animals
layer4,1795,"a memorial, a typewriter, a to in the field, a person playing keyboard"
layer4,1795,"electronics, buildings, pianos and floors"
layer4,1795,old electrical machines and one tombstone
layer2,365,spots of the color white
layer2,365,space above a man's head
layer2,365,small lines on a structure
layer1,120,"the color pink, red, and purple"
layer1,120,purple objects
layer1,120,these include red or blue
layer3,574,"vases, pumpkins, wheels and birds"
layer3,574,unicycle
layer3,574,rounded items like duck upper bodies
layer4,346,produce and things with dots or keys
layer4,346,produce
layer4,346,bright colored area
layer4,815,"animals, keys and screws"
layer4,815,spiked forms of life and pianos
layer4,815,similar patterns
layer4,872,eyes and neck of people
layer4,872,"sunglasses, crowd of musicians. scarf a person is wearing, baby"
layer4,872,"people, dogs, coffee, and lights"
layer1,90,fluorescent blue and pink objects
layer1,90,objects with purple lights
layer1,90,purple areas
layer2,89,repeating black lines
layer2,89,black mechanical objects
layer2,89,objects with lines/ditches in the item
layer4,352,things shaped like bows and shelves
layer4,352,bookshelves
layer4,352,this region shows two similar parts that are separated by a third area
layer4,350,animals and wooden objects
layer4,350,noses and objects that resemble them
layer4,350,bugs and faces
layer4,1380,the ocean
layer4,1380,ocean waters
layer4,1380,"animal, nature, person"
layer4,1859,"a man holding an alligator, a man dome in the background a bird in a branch a light, a snake"
layer4,1859,animals and things shaped like a dome
layer4,1859,circular features
layer3,46,round edges of objects
layer3,46,"ball, striped shirt, wheel, person"
layer3,46,edges of objects
layer4,206,wooden paths and roads
layer4,206,roads and mirrors
layer4,206,walkways and roads
layer3,759,trains and vehicles
layer3,759,train cars
layer3,759,objects that have a striped nature
layer4,971,faces of people wearing glasses
layer4,971,faces and circular objects
layer4,971,"heads, and objects that resemble them, against backgrounds"
layer4,1124,birds and furniture
layer4,1124,objects with lines
layer4,1124,eagles and leaves
layer2,323,"a group of students in a row, a church"
layer2,323,checked or striped
layer2,323,"animal, person"
layer1,67,text on the side of a ballon
layer1,67,the tops of words and curved animals
layer1,67,"nature, people, structure, text"
layer2,252,arms and legs
layer2,252,nature
layer2,252,edges of objects
layer3,572,dog ears
layer3,572,eyes of different dogs
layer3,572,ears
layer4,788,dogs and tower
layer4,788,arms of people
layer4,788,similar color
layer4,1359,"the ground, piggy banks, and rounded objects"
layer4,1359,brown dogs
layer4,1359,dirt
layer2,41,"food in a dish or a plate, a motorcycle parked, space above  flag flying high, a helmet, a space above a sunset"
layer2,41,areas that contain or reflect light
layer2,41,sunset and lighting
layer3,497,circular objects and curves
layer3,497,legs or look like legs
layer3,497,round objects
layer4,271,"electronics, dogs and buses"
layer4,271,radiators
layer4,271,"screen, window, animal"
layer4,1157,round objects
layer4,1157,animals and bottles
layer4,1157,birds and toys
layer4,1992,"bottom of a statue, pendant on a necklace, drain a kid is playing on,  adog's feet"
layer4,1992,circular or slatted
layer4,1992,"animal, nature, balloon, person"
layer3,199,two connecting points
layer3,199,picket fence behind a dog
layer3,199,towers and jacket lapels
layer3,349,"text on the side fof a car,boat, or other vehicle"
layer3,349,buttons and letters
layer3,349,black numbers on vehicles
layer4,88,vehicles and furniture
layer4,88,vehicles
layer4,88,"building, rock, ship, water, tank"
layer4,233,animals and buildings
layer4,233,brown dogs
layer4,233,sides of objects
layer4,995,"sticks, handles, poles and other long thin objects"
layer4,995,"long, thin objects"
layer4,995,skinny poles
layer4,1858,black and white birds and animals
layer4,1858,"bird, person, whale"
layer4,1858,black objects in pictures
layer4,1875,vehicles and people holding objects
layer4,1875,"objects being held by people, and various objects"
layer4,1875,items with angles
layer2,37,areas under poles and lines
layer2,37,blue skies
layer2,37,areas with a gradient of color
layer3,139,backgrounds
layer3,139,faces of land animals
layer3,139,nature
layer3,717,"things shaped like bottles, legs or dots"
layer3,717,areas that contain multiple objects
layer3,717,metal tools
layer4,990,faces of people
layer4,990,"people, animals and vans"
layer4,990,faces in humans
layer4,1054,animals and bulbous objects
layer4,1054,black birds
layer4,1054,"water tower, animal, person"
layer1,28,some sun lotion
layer1,28,instruments and faces
layer1,28,very small dots of color
layer2,429,"trafic cone, stick bug, space on random points of a motorcycle."
layer2,429,red and orange dots
layer2,429,items that have red in them
conv1,59,rim of a car
conv1,59,white outlines of objects
conv1,59,"insect, logo, needle, gauge"
layer3,791,balloon shaped objects
layer3,791,hot air balloons
layer3,791,things with fanned out lines
layer4,23,straight lines
layer4,23,"many stick like objects, all near perfect straight lines"
layer4,23,things with long extremities
layer4,716,animals
layer4,716,grass and textured backgrounds
layer4,716,black and white animals
layer4,1286,"lights, buses, camera, buildings and birds"
layer4,1286,dark shapes surrounded by lighter colors
layer4,1286,cameras
layer4,1910,"boat, a handbag, insects, a dress"
layer4,1910,"people, animals, and food"
layer4,1910,the sides of objects
layer2,179,"the color white in small, circular spheres"
layer2,179,dots outlining a object
layer2,179,circles of white
layer2,197,white and black borders
layer2,197,white bars
layer2,197,specific patterns
layer4,557,floral patterns and white walls
layer4,557,"walls, windows, and pictures"
layer4,557,white objects and screen doors
layer3,739,things on necks and stripes
layer3,739,ties and collars
layer3,739,there a bowties on a bunch of people and collars on dogs
layer4,1444,"dog, ship at sea, clock, dogs on the snow, text on a sign"
layer4,1444,items that are connected
layer4,1444,rounded edges in pictures
layer4,1542,"a duck on the water, a baby, a pearl"
layer4,1542,circular objects
layer4,1542,circular features
layer2,329,spots of blue bordering objects
layer2,329,spaces on a tied knot
layer2,329,small colorful circles
layer1,149,"a creature in the ocean, a shark"
layer1,149,oceanside and the ocean
layer1,149,"flower, water, animal"
layer3,96,pale color gradients
layer3,96,bright light shining
layer3,96,the photograph represent objects with gradients
layer3,552,fluorescent green and red objects
layer3,552,colored areas that contain red hues
layer3,552,area where text or glossy design is
layer4,1203,"produce, eggs, and toys"
layer4,1203,round fruits and balls
layer4,1203,"people, animal, fruit"
layer4,614,animals and shoreline
layer4,614,animals and rounded objects
layer4,614,spotted dogs
layer4,1856,animals
layer4,1856,items that are connected
layer4,1856,skin like surfaces
layer2,453,"a bird lands on a stump, a mousetrap with a dollar"
layer2,453,dots on lights
layer2,453,small spots of glowing color
layer1,65,dog in the park
layer1,65,green textured things
layer1,65,negative lighting
layer3,840,white fur on animals and food
layer3,840,foreheads of brown dogs
layer3,840,multiple colors in them
layer3,769,body parts of plants and animals
layer3,769,metal objects
layer3,769,a curved edge
layer4,994,animals and ships
layer4,994,areas with several lines or texture
layer4,994,ships
layer4,1000,phone cords
layer4,1000,coils
layer4,1000,striped features
layer1,11,"letters of a clock, letters of a frisbee, leaves of a plant, text on a object"
layer1,11,black lettering on rounded objects
layer1,11,bits of areas that are black and another color on the edge of things
layer2,14,white text
layer2,14,white and black lettering
layer2,14,letters
layer2,274,outlines of objects
layer2,274,on the sides of objects
layer2,274,"mirror, tuck, person, animal, food"
layer3,961,windows and wheels
layer3,961,white areas surrounded by darker colored areas
layer3,961,things with gaps
layer4,1202,a mixture of actual or reflected white and reddish-brown coloration
layer4,1202,brown objects
layer4,1202,amber colored objects
layer4,1373,repeating lines and objects
layer4,1373,"people, animals, and repeating objects"
layer4,1373,repeating objects form a pattern
layer4,1734,animals and knobs
layer4,1734,rounded edges or objects
layer4,1734,rounded edges in pictures
layer4,1793,objects in the sky
layer4,1793,"animals, windows and buildings"
layer4,1793,items that have straight features
conv1,56,a rooster on a table
conv1,56,black and white lettering
conv1,56,the outline  edges of objects
layer3,447,single colors and corners
layer3,447,"smooth, plastic surfaces"
layer3,447,corners of things
layer3,537,backgrounds
layer3,537,land animals
layer3,537,white areas above object
layer4,434,animals and circular objects
layer4,434,"fur, feathers and other textures"
layer4,434,brown animals
layer4,608,animals and baskets
layer4,608,objects with appendages
layer4,608,brown dogs
layer2,494,"aquatic life, food, insects, animals, clothing"
layer2,494,lettering
layer2,494,similar patterns
layer1,243,black and white borders
layer1,243,a guitar pick in some strings
layer1,243,striped clothing and objects
layer4,312,balls and animals
layer4,312,shaggy dogs and tennis balls
layer4,312,"rounded objects and furry animals/objects, and things that look similar to fur but aren't"
layer4,224,"mountains, flags and flooring"
layer4,224,the mountains
layer4,224,white structures covering items
layer4,1982,"insects, people, dogs, and a cheetah"
layer4,1982,grass and plants
layer4,1982,dogs and spiders
layer4,1070,"a man in a field kneeling, clothing, dog on the other side of a fence, a broom hanging up"
layer4,1070,people holding objects
layer4,1070,angles
layer1,68,"space on the barrel of a gun, edge of a table with tools on it"
layer1,68,parts of striated things
layer1,68,ridges
layer3,333,small holes and screws
layer3,333,cylinder and circular objects
layer3,333,round objects
layer4,211,"dark areas that contrast with other areas, the dark areas form one or more corners"
layer4,211,"electronics, birds and shirts"
layer4,211,silver and black squares
layer3,852,animal fur
layer3,852,grass and trees
layer3,852,"contain long, thin items"
layer4,1324,"animals, and diagonal lines"
layer4,1324,trucks
layer4,1324,"boat, truck, pencil sharper, water"
layer4,1372,"graphic on a package, holds, cheetah, fox"
layer4,1372,"animals, tools and instruments"
layer4,1372,multiple items that are similar
layer3,380,repeating gray and brown lines
layer3,380,pieces of metal that are pointed
layer3,380,specific patterns
layer3,503,the top of buildings and a rocket
layer3,503,middle eastern style buildings
layer3,503,top of buildings or signs
layer3,753,"sticks, animals and the background"
layer3,753,brown dogs
layer3,753,the midsection of objects
layer4,474,computer towers and buildings
layer4,474,backgrounds
layer4,474,hands and dogs
layer4,1142,bowls and circular items
layer4,1142,"clothes, dogs, bowls and sticks"
layer4,1142,two items that are connected
layer4,1820,dogs and cylindrical objects
layer4,1820,animals and objects that resemble them
layer4,1820,two items that are connected
layer2,110,"collar of a dog,  a spider web, strap to an accordion, a fence, a musical playing on the street, a glass pitcher"
layer2,110,horizontal stripes
layer2,110,black lines
layer3,330,"tree, tower, a telephone, a birthday cake"
layer3,330,the background
layer3,330,blue skies
layer3,734,animals
layer3,734,human and animal appendages
layer3,734,monkeys
layer4,289,animals and sticks
layer4,289,sea creatures and land animals
layer4,289,long straight items in them
layer4,1993,animals and green objects
layer4,1993,birds
layer4,1993,cactus and other vegetables
layer4,1326,tall objects holding liquid
layer4,1326,"bottles, ships, candles and needles"
layer4,1326,items that are standing up
layer2,114,fluorescent blue and purple outlines
layer2,114,purple areas
layer2,114,"pink, purple, and blue areas"
layer1,105,"speedometer, a heart made of glow sticks, a line going down a gun, a dogs flu with it, a person playing an instrument"
layer1,105,white and black numbers
layer1,105,a black line in them
layer3,947,"jewelry, helmets and metal objects"
layer3,947,"food, flower, radio, gun, person"
layer3,947,spots in pictures
layer4,1263,animals and horns
layer4,1263,red hued areas
layer4,1263,faces
layer4,1606,"cylinders, animals and instruments"
layer4,1606,people holding objects up to their mouths
layer4,1606,two items that are connected
layer4,1825,"dog, a vent in a restaurant, a bird on the water, a turtle on the sand, a dog with his toy, a bird"
layer4,1825,animals and ceilings
layer4,1825,items with curves
layer3,854,buildings and patterned fabrics
layer3,854,windows of buildings
layer3,854,long windows
layer4,324,dogs and red objects
layer4,324,dogs
layer4,324,snout looking things
layer4,1042,"bookshelf, insect, rocks, dog"
layer4,1042,textured areas
layer4,1042,areas with two items connected
layer4,1414,legs of insects and edges of structures
layer4,1414,natural backgrounds
layer4,1414,brown and red objects
layer1,74,a bird on a branch
layer1,74,pale spots
layer1,74,"small details of animals, images and words"
layer2,101,the sky above animals
layer2,101,foxes and other land animals
layer2,101,the part of the top area
layer1,155,the color green
layer1,155,dog standing in grass
layer1,155,fluorescent blue and green backgrounds
layer3,327,"a dog's paw, a bird sitting on the beach"
layer3,327,blurry backgrounds
layer3,327,pink areas of objects
layer3,563,electronics
layer3,563,areas that contain dark lines
layer3,563,a thin line through them
layer3,676,animals
layer3,676,dog noses
layer3,676,animal
layer4,621,circular objects and electronics
layer4,621,brown dogs
layer4,621,bugs and animals
layer4,697,edges of objects and skin of white people
layer4,697,"water features, fabric and leaves"
layer4,697,shoulders and arms
layer3,12,circular objects
layer3,12,pale spots on objects or people
layer3,12,white dots on objects
layer4,95,animals and ships
layer4,95,textured areas containing lines
layer4,95,items that have openings
layer4,453,animals
layer4,453,objects with white features
layer4,453,brown dogs
layer4,659,animals and rocks in the ground
layer4,659,"animals, lawns and bridges"
layer4,659,white shirts and greenery
layer4,2027,"chain, tower, icecream cone"
layer4,2027,objects with zig zag design
layer4,2027,two items together
layer3,458,people rowing boats
layer3,458,shoes
layer3,458,rounded edges in pictures
layer3,664,"eyes, flower buds and windows"
layer3,664,noses of brown animals
layer3,664,"the patches of white on a person, animal, insect, building, or other object"
layer4,339,"boxes, lights and animals"
layer4,339,objects containing grey hues
layer4,339,tones on different rounded structures
layer4,1575,"chainsaw, bush, negation in the water, watch someone is wearing"
layer4,1575,green objects
layer4,1575,green items
layer4,1533,"sticks, screws and animals"
layer4,1533,items with patterns
layer4,1533,"animals, insect, nature"
layer2,427,spots of the color white and blue
layer2,427,"a van, a clock collectable, a van, a ask mask"
layer2,427,noses of animals
layer1,131,"sharks in the ocean, a person cutting up some fish, a squirrel eating a pizza slice, a shark in theycan"
layer1,131,animals and aquatic life
layer1,131,text and living things
layer3,665,things shaped with bumps
layer3,665,yellow objects
layer3,665,skin and body parts
layer4,287,yellow objects and flowers
layer4,287,grass and vegetables.
layer4,287,green grass
layer4,1350,animals and the ocean
layer4,1350,white dogs
layer4,1350,white or a light color
layer4,731,"swirls, dogs and hay"
layer4,731,objects with lines and texture
layer4,731,metal spirals
layer2,398,bottom of a ball
layer2,398,pieces of partly blue items
layer2,398,blue and orange areas
layer2,413,man's face as he speaks through the microphone
layer2,413,contain hot pink
layer2,413,red objects
layer3,786,outlines of white objects
layer3,786,creams
layer3,786,rounded edges in pictures
layer4,181,objects with curved corners
layer4,181,corners of buckets
layer4,181,rounded corners
layer4,1221,"animals, bricks, and metal objects"
layer4,1221,metal objects
layer4,1221,rounded edges in pictures
layer4,1839,"multiple, parallel lines"
layer4,1839,areas with lines or grids
layer4,1839,two items that are similar
layer2,409,"mushrooms growing in the ground, a dogs leg with space around"
layer2,409,lines and edges
layer2,409,"animal, person"
layer2,142,"fur, plumage, and hair"
layer2,142,spots of the color white
layer2,142,white colored spots
layer3,636,the sky and background
layer3,636,blue skies
layer3,636,the sky
layer4,492,shiny surfaces and fur
layer4,492,"people, fire escapes, and the beach"
layer4,492,similar color patterns
layer4,838,home appliances and objects with edges
layer4,838,"animals, vehicles, appliances and electronics"
layer4,838,computers and kitchen appliances
layer4,1460,"dog, bear, horse"
layer4,1460,white dogs
layer4,1460,items that are curved
layer3,254,the front of a moped the front of a van
layer3,254,tires
layer3,254,"car, bike, person"
layer4,83,"animals, grates, and crosswords"
layer4,83,crossword puzzles
layer4,83,crossword puzzles and animals
layer4,1275,spots of objects and animals
layer4,1275,"circular objects, plates, and animals"
layer4,1275,rounded edges in pictures
layer3,224,pale backgrounds
layer3,224,keys on a piano that has space
layer3,224,"drawing, person, spoon, animal"
layer2,100,areas where light is gleaming
layer2,100,white spots on clothing and animals
layer2,100,blue areas
layer3,772,"furniture, bird bodies and walls"
layer3,772,wooden tables and desks
layer3,772,"bird, tree, person, food, anima, table"
layer4,628,animals
layer4,628,breeds of dogs
layer4,628,pictures of animal
layer4,2012,"space on the left side of someone's jacket,sapce on a bike trail, space on pond"
layer4,2012,"trees, poles, sticks and water"
layer4,2012,multiple bodies of water
layer1,140,"whiskers of a cat, aperson getting ready to aim a weapon, a dog posing for a photo, plant life"
layer1,140,diagonal lines
layer1,140,lines
layer2,214,white repeating spots
layer2,214,vehicles
layer2,214,similar patterns
layer4,55,"animals, buses and shirts"
layer4,55,dogs or pocket like areas
layer4,55,fronts and backs of objects
layer3,962,white and black animals
layer3,962,objects with patterns
layer3,962,pictures of animal
layer4,609,"animals, grass and clothes"
layer4,609,brown dogs
layer4,609,pictures of animal
layer4,1690,"a person doing laundry, a statue, a soldiers clothing, a statue"
layer4,1690,an irregular rounded  surface  or wrinkles
layer4,1690,the regions have items with folds
layer1,34,white borders around animals and objects
layer1,34,"a dog carrying a stick, a dog posing for a picture with owner,  a dog with a hat, a flower"
layer1,34,small black eyes and legs
layer3,37,"flowers of a pedal leaf, a watering tool, a compass, a dome ceiling, a musical instrument, wheel above a person playing pingpong"
layer3,37,things shaped like flower petals
layer3,37,similar patterns
layer3,147,steel and birds
layer3,147,objects with horizontal lines
layer3,147,the ridged portion of several different objects
layer3,912,"car, train, typewriter, scarf"
layer3,912,blue backgrounds
layer3,912,blue and white items
layer4,888,"hands, balls and bottles"
layer4,888,human hands
layer4,888,people
layer4,1112,"horse, person standing on a whale, a fly, a comic book, a horse"
layer4,1112,animals and pictures
layer4,1112,animals
layer3,7,brick walls
layer3,7,brick walls
layer3,7,brick pattern
layer2,59,"pale areas consisting of tan, grey and white"
layer2,59,objects with different ridges
layer2,59,bands that look like a screw
layer4,467,"animals, water, sticks and grates"
layer4,467,background behind object
layer4,467,the sides of objects
layer4,1995,"ship on sea, a bridge, a insect, place in the sky"
layer4,1995,"animals, ships and furniture"
layer4,1995,these things are brown colored
layer4,1102,balls and dogs
layer4,1102,areas with green or grey
layer4,1102,small balls
layer2,356,the back part of a zebra
layer2,356,tan skin and black and white stripes
layer2,356,"seat, person, tree, sky"
layer2,156,spots of the color white
layer2,156,pale spots without color
layer2,156,brighter areas in objects
layer3,513,animals
layer3,513,noses on dogs
layer3,513,animal
layer4,404,areas containing lines
layer4,404,faces of people
layer4,404,curved items
layer4,857,"fruit, a bird, bike tire. adog"
layer4,857,"animals, produce and wheels"
layer4,857,textured objects
layer4,1752,objects with strong lines
layer4,1752,items with straight features
layer4,1752,"animals, person, plant"
layer4,1936,"faces of people, dogs, buses, cars"
layer4,1936,the insides and outsides of cars
layer4,1936,on the sides of items
layer1,57,top of an alarm clock
layer1,57,white dots on animals and grates
layer1,57,"plant, pan, pot"
layer2,147,the color blue
layer2,147,land animals
layer2,147,"people, animals, insect"
layer4,57,"bottles, pens and animals"
layer4,57,bottles
layer4,57,bottles
layer4,1276,"animals, violins and things shaped like amoebas"
layer4,1276,a wavy design on them
layer4,1276,items with curved features
layer4,1773,"a guitar neck with a pick, a sign with some letters, a girl giving a dog a kiss"
layer4,1773,"dogs, pens and things shaped like triangles"
layer4,1773,animals
layer2,318,"a tuscan, a water tower, a taxi"
layer2,318,outlines of curved objects
layer2,318,a line through them separating color
layer1,129,color purple
layer1,129,pink and purple objects
layer1,129,purple lighting
layer3,68,human faces
layer3,68,shoulders of people and a couple tools
layer3,68,shoulders of people
layer3,866,animal noses
layer3,866,brown animals
layer3,866,circular areas
layer4,1107,fruits and spherical objects
layer4,1107,"shovel, chain link fence, a flute, fruit in a basket"
layer4,1107,"poles, circulars and mouths"
layer4,1289,animals and candles
layer4,1289,yellow objects
layer4,1289,"animal, nature"
layer3,985,white spots and lines on clothing
layer3,985,clothes
layer3,985,similar patterns
layer3,738,"animals, fruits, and shirts"
layer3,738,faces of animals
layer3,738,neck of bird
layer4,1478,"screwdrivers, dog on the grass"
layer4,1478,"poles, tools and animals"
layer4,1478,a pole like object
layer2,174,where two lines meet to make a cross design
layer2,174,windows and repeating lines
layer2,174,pale spots around dark objects
layer2,77,dogs
layer2,77,"stove, instrument, bathroom, insect, animal"
layer2,77,specific patterns
layer4,817,faces and legs
layer4,817,"textures; fur, feathers, fabric, scales and hair"
layer4,817,light haired dogs
layer4,303,land animals
layer4,303,the backs of animals
layer4,303,items that are curved
layer4,1748,"a man with a bandaid on his head, a mushroom growing, a football player with a helmet, a cat looking through a window"
layer4,1748,kids and dots
layer4,1748,bandages and babies
layer4,1632,"soldiers hat, duck, a boy and his dog, man and his stack of wood"
layer4,1632,"people, dogs and the ocean"
layer4,1632,living things
layer2,111,black and white text
layer2,111,white objects or text surrounded by darker colors
layer2,111,specific patterns
layer2,204,red and white colored areas
layer2,204,long and thin horizontal rods
layer2,204,lines and patterns
layer3,713,"animals, blue objects and electronics"
layer3,713,object with rounded corners
layer3,713,colorful toys
layer4,493,people with white skin holding objects
layer4,493,animals and bottles
layer4,493,human faces
layer4,1044,"a dog on theground, a bus, a dog on the snow, a car"
layer4,1044,animal faces and various vehicles
layer4,1044,two items that are connected
layer4,1469,"kid, fruit in a cup, dog"
layer4,1469,kids and a dog
layer4,1469,living things
layer3,35,tops of objects such as mushrooms and bottles
layer3,35,red caps and roofs
layer3,35,specific patterns
layer4,522,animals and poles
layer4,522,paws of different animals
layer4,522,pictures of mammals
layer4,1128,"a baseball player's outfit, a fish on the ground, a bowl, a cup on a table, a train going down the tracks, an insect"
layer4,1128,curved items
layer4,1128,"person, food, vehicle, nature"
layer1,159,space following the trip of a motorcycle
layer1,159,white lettering and radios
layer1,159,white dots
layer3,470,reflective surfaces and water
layer3,470,shiny and have bends in them
layer3,470,things with a white color
layer3,547,brown dog legs
layer3,547,dogs legs or spots in an object
layer3,547,vertical patterns
layer4,549,produce and animals
layer4,549,green orbs
layer4,549,rounded edges in pictures
layer4,689,"onions in a field, food on a plate, golf balls"
layer4,689,dots and food
layer4,689,textures and patterns
layer4,1924,"items on top of tables or other surfaces, including games, printed materials, tile samples, and a snake"
layer4,1924,areas with multiple objects grouped together
layer4,1924,multiple items that are similar
conv1,19,a guitar pick in some strings
conv1,19,black and white mechanical objects
conv1,19,white lines
layer2,205,repeating stripe and dot patterns
layer2,205,objects with perforations
layer2,205,similar patterns
layer3,745,"legs of people, animals, and chairs"
layer3,745,ground
layer3,745,chairs
layer4,798,"barns, animals and boxes"
layer4,798,barns and grassy plains
layer4,798,water and sky and houses
layer4,1769,people enjoying the outdoors
layer4,1769,"bottles, crutches, vehicles and remotes"
layer4,1769,items that can be held
layer2,190,"the color white in small, circular spheres"
layer2,190,black patterns on vehicles and buildings
layer2,190,lighter areas
layer2,263,metal objects
layer2,263,items with skinny metal lines
layer2,263,"bird, screw, watch, cable wire"
layer4,828,balls and animals
layer4,828,green objects
layer4,828,on the sides of objects
layer4,506,furniture and ceramics
layer4,506,objects with lines
layer4,506,"items have lines , designs or edges"
layer4,1644,"pendant, radiator, shirt a man is wearing, vest a man is wearing"
layer4,1644,"clothes, animals and pipes"
layer4,1644,green and blue objects
layer2,106,black and white corners of objects
layer2,106,ears of animals
layer2,106,the tips of objects
layer2,103,"an aquatic animal, a guy riding in a truck, people posing for a photo"
layer2,103,pale spots next to dark areas
layer2,103,letters and numbers that are black and white
layer4,318,poles and straight lines
layer4,318,human faces
layer4,318,the sides of objects
layer4,432,small animals with fur
layer4,432,animals and buckets
layer4,432,pictures of animal
layer4,1989,"aquatic life, bird on a branch,  a truck going through the grass, a dog on the pavement"
layer4,1989,"animals, furniture and vehicles"
layer4,1989,angles
layer4,1971,"a  cat laying on a laptop screen, a fossil, a women wearing a skirt"
layer4,1971,"food, animals and boas"
layer4,1971,colorful accessories and feather boas
layer2,309,"a persons fake mustache, space above a zebra"
layer2,309,animals in the forest
layer2,309,animals in the places
layer3,151,animal necks and poles
layer3,151,necks of different birds
layer3,151,necks of animals and tube shaped objects
layer4,806,animals and things with stripes
layer4,806,animal tails and objects that resemble them
layer4,806,striped tails
layer2,412,borders and corners
layer2,412,the corners of curves
layer2,412,sharks and red objects
layer2,484,black spaces in between lines
layer2,484,small black dots and sharks
layer2,484,spots in pictures
layer3,586,"plaques, animals and signs"
layer3,586,legs of a bird
layer3,586,two similar items that are separated
layer3,847,tires and feet
layer3,847,animal legs and wheels
layer3,847,feet or bottom area of objects or people
layer4,937,paws of animals and people working
layer4,937,water and tables
layer4,937,dogs with collars
layer4,1620,protruding object
layer4,1620,two connected items
layer4,1620,animals
layer2,71,pale spots on various objects
layer2,71,light colored spots on an image
layer2,71,lighter areas
layer3,118,"pencils, sticks and legs"
layer3,118,the ground or writing utensil parts
layer3,118,backgrounds in pictures
layer3,747,people and area above curved lines
layer3,747,birds
layer3,747,the edges of items
layer4,955,"deer, dog, baby, man,  adog"
layer4,955,animals
layer4,955,pictures of animal
layer4,1592,the sky
layer4,1592,grass and trees
layer4,1592,areas around objects
layer4,1506,"a insect, a bird in the sky, a snake in the grass, space below a sign"
layer4,1506,items with straight features
layer4,1506,"animals, people"
layer3,799,rounded areas of living things that show shading and have only one light source
layer3,799,animal faces and torsos
layer3,799,dogs
layer4,193,fences
layer4,193,chain-link fence and tile
layer4,193,a lot of chainlink fencing and some wallpaper with a chainlink pattern
layer4,1232,snakes and other creatures
layer4,1232,items with straight features
layer4,1232,rounded edges in pictures
layer4,996,palm sized objects
layer4,996,animals
layer4,996,people holding objects
layer1,184,"space through the text of a graphic, people walking down a trail, a instrument on a sofa, animals posing for a photo"
layer1,184,red dots and white dots between words
layer1,184,very small dots
layer2,425,pedal's on a flower
layer2,425,bugs and flowers
layer2,425,"nature, car, tuck, animal"
layer2,491,the color green
layer2,491,green areas in nature
layer2,491,green areas in picture
layer3,34,mouths of animals
layer3,34,fireworks and whiskers
layer3,34,spray shapes like a firework
layer4,426,animals and flowers
layer4,426,food
layer4,426,similar color patterns
layer4,1189,"furniture, tents and other wooden items"
layer4,1189,"pale, rectangular objects"
layer4,1189,things outside
layer4,1355,things with poles and trees
layer4,1355,tapered objects
layer4,1355,"animal, crutches, parking meter, water tower"
layer4,2000,"bison, spider, baby, bird"
layer4,2000,animals
